threat,implms,explms,mathprob
0,-0.56,15,8
1,-1.49,13,6
0,-0.36,14,7
1,-0.71,12,8
0,-0.71,17,9
1,-0.77,13,8
0,-0.23,13,5
1,-0.44,19,11
0,-0.35,17,10
1,-0.59,15,8
0,-0.63,15,8
1,-0.43,17,10
0,-0.77,15,7
1,-0.68,16,6
0,-0.56,14,7
1,-1.15,17,4
0,-0.67,18,9
1,-0.63,13,8
0,-0.83,12,5
1,-1.08,16,11
0,-0.46,16,10
1,-0.21,17,12
0,-0.28,14,8
1,0.32,17,16
0,-0.55,18,8
1,-0.28,20,6
0,0.05,16,12
1,-0.55,14,8
0,-0.44,16,11
1,-0.66,17,8
0,-1.49,15,5
1,-0.88,17,7
0,-0.77,17,10
1,-0.79,16,8
0,0.09,17,8
1,-0.88,12,10
0,-1.17,17,10
1,-0.83,13,6
0,-0.94,13,7
1,-1.51,19,5
0,-0.47,17,13
1,-0.63,15,8
0,-0.74,15,5
1,-1.17,17,7
0,-0.44,15,10
1,-0.27,16,10
0,-1.54,14,8
1,-0.52,17,15
0,-0.72,18,8
1,-1.53,13,6
0,0.02,12,7
1,-0.79,16,8
0,-0.09,16,11
1,-0.9,17,6
0,-0.69,14,5
1,-0.82,12,11
0,-1.03,17,10
1,-1.62,13,8
0,-1.08,13,8
1,-0.63,19,9
0,-0.03,17,8
1,-0.59,15,6
0,-0.28,15,7
1,-1.09,17,4
0,-0.79,15,11
1,-0.8,16,5
0,-0.46,14,5
1,-1.27,17,2
0,-0.28,18,10
1,-0.24,13,2
0,-0.47,12,8
1,-0.62,16,10
0,-0.39,16,8
1,-0.53,17,10
0,-0.52,14,7
1,-0.7,12,8
0,-1.38,17,11
1,-0.68,13,8
0,-0.94,13,5
1,-0.64,19,11
0,0.05,17,8
1,-0.71,15,8
0,0.2,15,8
1,-1.62,17,2
0,-0.74,15,8
1,-0.59,16,6
0,-0.68,14,7
1,-0.51,17,13
0,-0.62,18,11
1,-0.43,13,3
0,-0.32,12,5
1,-0.12,16,12
0,-0.6,16,10
1,-0.62,17,8
0,-0.7,14,3
1,-0.71,17,3
0,-0.47,18,6
1,-0.49,12,4
0,-0.47,17,10
1,-0.48,13,4
0,-0.42,13,8
1,-0.8,19,5
0,0.03,17,11
1,-0.6,15,10
0,0.08,15,8
1,1.07,21,15
0,-0.36,15,10
1,-0.61,16,8
0,-0.78,14,3
1,-0.45,17,12
0,-0.75,18,8
1,-0.45,13,3
0,-0.52,12,8
1,-0.4,16,5
0,-0.33,16,11
1,-0.18,17,15
0,-0.42,14,8
1,-0.34,17,13
0,-0.2,18,13
1,-0.28,20,16
0,-1.65,12,2
1,-0.72,17,6
0,-0.27,13,8
1,-0.44,13,6
0,-0.14,19,13
1,-0.18,19,14
0,-0.54,15,11
1,-0.08,15,8
0,-0.8,17,9
1,-0.54,15,6
0,-0.58,16,10
1,-0.55,14,2
0,-0.04,17,12
1,-0.16,18,12
0,-1.21,16,5
1,-0.51,12,2
